level,n_model_instances,mean_B_pct,sd_agent_mean_B_pct,se_agent_mean_B_pct,ci95_low,ci95_high,mean_delta_from_prior_pp,delta_ci95_low,delta_ci95_high,paired_t,paired_t_p
1,50,58.76,1.045105209038393,0.1478001960728864,58.462984385929076,59.05701561407092,,,,,
2,50,59.86,1.3288018233409697,0.18792095602748968,59.482358700229504,60.237641299770495,1.0999999999999996,0.7983587254333966,1.4016412745666027,7.328349755908725,2.0596499867581747e-09
3,50,66.12799999999999,1.5163113136819895,0.2144388024588834,65.69706909269897,66.558930907301,6.268,6.02991625842891,6.506083741571089,52.90582844173341,6.787667858555458e-45
4,50,72.094,1.6904787390993532,0.2390697959737674,71.61357125806558,72.57442874193441,5.966,5.778835630538988,6.153164369461012,64.05666793973026,6.590884208321651e-49
5,50,78.697,1.5298529341083735,0.21635387678523346,78.26222060675549,79.13177939324451,6.603000000000001,6.358821293056547,6.847178706943454,54.34227028582468,1.8664183190015453e-45
